30 90
18.3435 79.6543
59.685 77.9691
9.99749 44.5833
33.3709 45.9249
65.0888 14.2867
72.1999 5.64116
0.0778765 93.8553
61.7482 99.2212
0.706631 61.1653
52.4775 2.30624
4.66657 39.9861
23.2771 97.3756
61.8386 9.06064
98.3231 38.2462
85.994 46.6763
45.0499 68.0308
94.2202 1.3265
38.5417 56.3288
23.0894 1.59663
68.3264 24.1025
83.3195 60.9997
39.1061 17.3365
75.5361 18.2236
20.7942 42.5156
3.13133 56.77
44.9754 84.2285
92.6659 39.515
32.6541 72.7272
52.0834 57.0444
84.4534 96.1172
0 6 23.14
0 21 65.69
0 3 36.93
0 24 27.48
0 9 84.54
1 13 55.41
1 19 54.56
1 2 59.86
1 15 17.69
1 29 30.71
2 7 75.26
2 9 59.93
2 18 44.94
2 28 43.89
3 15 25
3 6 58.36
3 19 41.21
3 11 52.43
3 13 65.4
3 26 59.64
3 27 26.81
3 20 52.17
4 14 38.55
4 18 43.87
4 7 85
4 20 50.14
4 15 57.36
4 8 79.64
5 22 13.02
5 10 75.76
5 6 113.94
5 9 20
6 8 32.7
6 14 98.02
6 15 51.86
7 25 22.5
7 23 69.95
7 14 57.87
7 28 43.27
8 19 77.11
8 29 90.75
8 26 94.47
8 17 38.14
8 10 21.55
8 18 63.64
9 13 58.25
9 11 99.45
9 20 66.3
9 14 55.61
9 24 73.49
9 10 60.87
9 21 20.12
10 15 49.17
10 27 43.07
10 25 59.85
10 12 65
11 28 49.56
11 24 45.33
12 16 33.29
12 23 52.95
12 21 24.19
12 18 39.46
12 26 43.33
12 19 16.38
13 21 62.8
13 24 96.98
14 27 59.36
14 16 46.09
14 20 14.57
15 16 82.87
15 29 48.39
16 17 78.26
16 21 57.39
16 22 25.19
16 26 38.22
17 26 56.68
17 19 43.88
18 25 85.48
18 24 58.67
19 21 29.99
19 26 28.81
20 24 80.3
20 22 43.48
20 27 52
21 29 90.9
22 25 72.74
23 28 34.5
25 27 16.86
26 27 68.59
27 29 56.84
